Name,Description,List
Registrar productos mediante codigos QR o RFID,Requerimiento funcional del sistema InvenTech,Por hacer
Actualizar cantidades en el inventario en tiempo real,Requerimiento funcional del sistema InvenTech,Por hacer
Generar reportes en PDF o Excel con datos del inventario,Requerimiento funcional del sistema InvenTech,Por hacer
Gestionar usuarios y asignar roles de acceso,Requerimiento funcional del sistema InvenTech,Por hacer
"Consultar productos por nombre, modelo o categoria",Requerimiento funcional del sistema InvenTech,Por hacer
Registrar automaticamente movimientos de inventario,Requerimiento funcional del sistema InvenTech,Por hacer
Generar alertas por stock maximo,Requerimiento funcional del sistema InvenTech,Por hacer
Visualizar estadisticas graficas del inventario,Requerimiento funcional del sistema InvenTech,Por hacer
Disenar una interfaz amigable e intuitiva,Requerimiento funcional del sistema InvenTech,Por hacer
Escanear productos desde dispositivos moviles,Requerimiento funcional del sistema InvenTech,Por hacer
Identificar productos obsoletos o de baja rotacion,Requerimiento funcional del sistema InvenTech,Por hacer
"Filtrar reportes por fecha, categoria y estado",Requerimiento funcional del sistema InvenTech,Por hacer
Visualizar historial de cambios por producto,Requerimiento funcional del sistema InvenTech,Por hacer
Exportar reportes para auditorías externas,Requerimiento funcional del sistema InvenTech,Por hacer
Registrar ubicacion exacta de productos en el almacen,Requerimiento funcional del sistema InvenTech,Por hacer
